year,ranking,album,writer
1968,26,Otis Redding '(Sittin' on) the Dock of the Bay',Redding  Steve Cropper
1968,32,The Rolling Stones 'Sympathy for the Devil',Mick Jagger  Keith Richards
1968,41,The Band 'The Weight',Robbie Robertson
1968,42,The Kinks 'Waterloo Sunset',Ray Davies
1968,47,The Jimi Hendrix Experience 'All Along the Watchtower',Bob Dylan
1968,65,Cream 'Sunshine of Your Love',Jack Bruce  Pete Brown  Eric Clapton
1968,81,Marvin Gaye 'I Heard It Through the Grapevine',Barrett Strong  Norman Whitfield
1968,102,The Jimi Hendrix Experience 'Voodoo Child (Slight Return)',Jimi Hendrix
1968,125,The Rolling Stones 'Jumpin' Jack Flash',Mick Jagger  Keith Richards
1968,130,Steppenwolf 'Born to Be Wild',Mars Bonfire
1968,136,The Beatles 'While My Guitar Gently Weeps',George Harrison
1968,146,Sly and the Family Stone 'Everyday People',Sly Stone
1968,195,Glen Campbell 'Wichita Lineman',Jimmy Webb
1968,225,Sly and the Family Stone 'Dance to the Music',Sylvester Stewart (Sly Stone)
1968,242,Dusty Springfield 'Son of a Preacher Man',John Hurley  Ronnie Wilkins
1968,270,Archie Bell and The Drells 'Tighten Up',Bell  Billy Butler
1968,301,The Rolling Stones 'Street Fighting Man',Mick Jagger  Keith Richards
1968,312,James Brown 'Say It Loud   I'm Black and I'm Proud',Brown  Pee Wee Ellis
1968,353,Big Brother and the Holding Company 'Piece of My Heart',Bert Berns  Jerry Ragovoy
1968,366,The Jimi Hendrix Experience 'Little Wing',Hendrix
1968,376,Cream 'White Room',Pete Brown  Jack Bruce
1968,442,Love 'Alone Again Or',Bryan MacLean
1969,38,The Rolling Stones 'Gimme Shelter',Mick Jagger  Keith Richards
1969,75,Led Zeppelin 'Whole Lotta Love',Willie Dixon  Led Zeppelin
1969,91,Elvis Presley 'Suspicious Minds',Mark James
1969,99,Creedence Clearwater Revival 'Fortunate Son',John Fogerty
1969,101,The Rolling Stones 'You Can't Always Get What You Want',Mick Jagger  Keith Richards
1969,106,Simon and Garfunkel 'The Boxer',Paul Simon
1969,116,The Rolling Stones 'Honky Tonk Women',Mick Jagger  Keith Richards
1969,121,The Jackson 5 'I Want You Back',Freddie Perren  Fonce Mizell  Deke Richards  Berry Gordy Jr.
1969,156,Creedence Clearwater Revival 'Proud Mary',John Fogerty
1969,171,Joni Mitchell 'Both Sides Now',Mitchell
1969,185,B.B. King 'The Thrill is Gone',Roy Hawkins  Rick Darnell
1969,205,The Beatles 'Come Together',John Lennon  Paul McCartney
1969,244,Sly and the Family Stone 'Stand!',Sly Stone
1969,249,The Band 'The Night They Drove Old Dixie Down',Robbie Robertson
